date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2016-04-29,NORMAL,dynamic,2016-03-31,0.0,0.01,4.0939474033052647e-16,1.8735013540549514e-16,0.0,7.63278329429795e-17,1.3183898417423734e-16,0.0,4.0939474033052647e-16,0.0,2.0816681711721685e-17,0.9999999999999956,2.42861286636753e-16,4.649058915617843e-16,3.538835890992686e-16,1.3183898417423734e-16,1.3183898417423734e-16,0.0,7.63278329429795e-17,5.204170427930421e-16,1.8735013540549514e-16,1.3183898417423734e-16,2.42861286636753e-16,2.42861286636753e-16,2.0816681711721685e-17,1.8735013540549514e-16,1.3183898417423734e-16,9.71445146547012e-16,1.2351231148954867e-15,4.3021142204224816e-16,0.9999999999999962,3.538835890992686e-16,2.636779683484747e-16,3.191891195797325e-16
2016-05-31,CALM,dynamic,2016-05-31,0.0,0.01,0.0,0.0,5.204170427930421e-16,0.0,2.0816681711721685e-17,0.0,3.538835890992686e-16,0.0,2.983724378680108e-16,0.9999999999999984,0.0,2.42861286636753e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,0.0,5.204170427930421e-16,1.5265566588595902e-16,6.522560269672795e-16,0.9999999999999987,0.0,0.0,0.0
2016-06-30,NORMAL,dynamic,2016-06-30,0.0,0.01,0.0,0.0,0.0,0.0,0.0,7.63278329429795e-17,2.0816681711721685e-17,0.0,0.0,0.9999999999999986,7.63278329429795e-17,3.538835890992686e-16,3.538835890992686e-16,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-16,1.8735013540549514e-16,0.0,0.0,0.0,3.191891195797325e-16,2.0816681711721685e-17,0.9999999999999992,3.538835890992686e-16,1.3183898417423734e-16,0.0
2016-07-29,CALM,dynamic,2016-06-30,0.0,0.01,0.0,0.0,0.0,0.0,0.0,7.63278329429795e-17,2.0816681711721685e-17,0.0,0.0,0.9999999999999986,7.63278329429795e-17,3.538835890992686e-16,3.538835890992686e-16,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-16,1.8735013540549514e-16,0.0,0.0,0.0,3.191891195797325e-16,2.0816681711721685e-17,0.9999999999999992,3.538835890992686e-16,1.3183898417423734e-16,0.0
2016-08-31,CALM,dynamic,2016-08-31,0.0,0.01,1.3183898417423734e-16,3.538835890992686e-16,6.869504964868156e-16,1.8735013540549514e-16,6.869504964868156e-16,2.42861286636753e-16,2.42861286636753e-16,2.0816681711721685e-17,1.8735013540549514e-16,0.9999999999999928,1.3183898417423734e-16,4.649058915617843e-16,5.759281940243001e-16,3.538835890992686e-16,5.759281940243001e-16,3.538835890992686e-16,1.3183898417423734e-16,2.983724378680108e-16,2.983724378680108e-16,1.8735013540549514e-16,3.538835890992686e-16,2.42861286636753e-16,1.3183898417423734e-16,2.983724378680108e-16,2.0816681711721685e-17,1.7139067942650854e-15,2.0886070650760757e-15,4.510281037539698e-16,0.9999999999999934,5.759281940243001e-16,1.2836953722228372e-15,3.191891195797325e-16
2016-09-30,CALM,dynamic,2016-09-30,0.0,0.01,4.0939474033052647e-16,2.983724378680108e-16,0.0,0.0,0.0,4.649058915617843e-16,4.0939474033052647e-16,7.63278329429795e-17,2.42861286636753e-16,0.999999999999995,3.538835890992686e-16,9.08995101411847e-16,2.42861286636753e-16,2.42861286636753e-16,1.3183898417423734e-16,2.983724378680108e-16,1.3183898417423734e-16,0.0,7.63278329429795e-17,0.0,0.0,7.63278329429795e-17,0.0,6.314393452555578e-16,0.0,7.077671781985373e-16,7.494005416219807e-16,7.28583859910259e-16,0.9999999999999962,2.42861286636753e-16,6.730727086790012e-16,6.314393452555578e-16
2016-10-31,NORMAL,dynamic,2016-10-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2016-11-30,CALM,dynamic,2016-11-30,0.0,0.01,1.8735013540549514e-16,9.645062526431047e-16,0.0,0.0,0.0,2.0816681711721685e-17,7.63278329429795e-17,0.0,0.0,0.9999999999999968,2.0816681711721685e-17,0.0,1.8735013540549514e-16,0.0,4.649058915617843e-16,7.63278329429795e-17,7.63278329429795e-17,0.0,1.8735013540549514e-16,1.8735013540549514e-16,2.42861286636753e-16,1.3183898417423734e-16,2.983724378680108e-16,0.0,0.0,1.582067810090848e-15,4.1633363423443365e-16,7.63278329429795e-17,0.9999999999999971,1.8735013540549514e-16,5.412337245047638e-16,0.0
2016-12-30,CALM,dynamic,2016-11-30,0.0,0.01,1.8735013540549514e-16,9.645062526431047e-16,0.0,0.0,0.0,2.0816681711721685e-17,7.63278329429795e-17,0.0,0.0,0.9999999999999968,2.0816681711721685e-17,0.0,1.8735013540549514e-16,0.0,4.649058915617843e-16,7.63278329429795e-17,7.63278329429795e-17,0.0,1.8735013540549514e-16,1.8735013540549514e-16,2.42861286636753e-16,1.3183898417423734e-16,2.983724378680108e-16,0.0,0.0,1.582067810090848e-15,4.1633363423443365e-16,7.63278329429795e-17,0.9999999999999971,1.8735013540549514e-16,5.412337245047638e-16,0.0
2017-01-31,CALM,dynamic,2017-01-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2017-02-28,CALM,dynamic,2017-02-28,0.0,0.01,1.8735013540549514e-16,0.0,1.8735013540549514e-16,4.0939474033052647e-16,4.0939474033052647e-16,6.869504964868156e-16,0.0,1.3183898417423734e-16,1.8735013540549514e-16,0.999999999999994,1.3183898417423734e-16,3.538835890992686e-16,2.42861286636753e-16,4.0939474033052647e-16,3.538835890992686e-16,7.63278329429795e-17,1.8735013540549514e-16,2.0816681711721685e-17,0.0,2.42861286636753e-16,7.979727989493314e-16,2.42861286636753e-16,4.0939474033052647e-16,2.42861286636753e-16,2.0816681711721685e-17,1.4155343563970746e-15,1.9567680809018384e-15,3.191891195797325e-16,0.9999999999999949,2.42861286636753e-16,8.396061623727746e-16,2.636779683484747e-16
2017-03-31,CALM,dynamic,2017-03-31,0.0,0.01,7.979727989493314e-16,0.0,0.0,0.0,0.0,2.983724378680108e-16,0.0,0.0,2.42861286636753e-16,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.979727989493314e-16,2.983724378680108e-16,2.42861286636753e-16,0.9999999999999988,0.0,0.0,0.0
2017-04-28,CALM,dynamic,2017-03-31,0.0,0.01,7.979727989493314e-16,0.0,0.0,0.0,0.0,2.983724378680108e-16,0.0,0.0,2.42861286636753e-16,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.979727989493314e-16,2.983724378680108e-16,2.42861286636753e-16,0.9999999999999988,0.0,0.0,0.0
2017-05-31,CALM,dynamic,2017-05-31,0.0,0.01,0.0,0.0,0.0,2.0816681711721685e-17,0.0,7.63278329429795e-17,0.0,0.0,0.0,0.9999999999999996,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983724378680108e-16,0.0,9.714451465470118e-17,0.0,0.9999999999999996,0.0,0.0,2.983724378680108e-16
2017-06-30,CALM,dynamic,2017-06-30,0.0,0.01,0.0,2.0816681711721685e-17,4.0939474033052647e-16,0.0,2.42861286636753e-16,1.8735013540549514e-16,0.0,2.42861286636753e-16,1.3183898417423734e-16,0.999999999999996,1.3183898417423734e-16,5.759281940243001e-16,2.983724378680108e-16,0.0,0.0,1.8735013540549514e-16,2.42861286636753e-16,2.706168622523819e-16,2.42861286636753e-16,5.204170427930421e-16,1.3183898417423734e-16,7.63278329429795e-17,2.0816681711721685e-17,0.0,7.63278329429795e-17,1.0824674490095276e-15,1.2628786905111156e-15,3.7470027081099033e-16,0.9999999999999967,2.983724378680108e-16,1.8735013540549514e-16,7.63278329429795e-17
2017-07-31,CALM,dynamic,2017-07-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2017-08-31,CALM,dynamic,2017-08-31,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.9999999999999998,0.0,1.5265566588595902e-16,0.0
2017-09-29,CALM,dynamic,2017-08-31,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.9999999999999998,0.0,1.5265566588595902e-16,0.0
2017-10-31,CALM,dynamic,2017-10-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2017-11-30,CALM,dynamic,2017-11-30,0.0,0.01,0.0,2.0816681711721685e-17,0.0,1.8735013540549514e-16,0.0,0.0,0.0,0.0,1.8735013540549514e-16,0.9999999999999992,0.0,0.0,0.0,2.42861286636753e-16,1.8735013540549514e-16,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,2.0816681711721685e-17,2.0816681711721683e-16,1.8735013540549514e-16,0.9999999999999992,0.0,4.3021142204224816e-16,2.0816681711721685e-17
2017-12-29,CALM,dynamic,2017-11-30,0.0,0.01,0.0,2.0816681711721685e-17,0.0,1.8735013540549514e-16,0.0,0.0,0.0,0.0,1.8735013540549514e-16,0.9999999999999992,0.0,0.0,0.0,2.42861286636753e-16,1.8735013540549514e-16,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,2.0816681711721685e-17,2.0816681711721683e-16,1.8735013540549514e-16,0.9999999999999992,0.0,4.3021142204224816e-16,2.0816681711721685e-17
2018-01-31,CALM,dynamic,2018-01-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2018-02-28,NORMAL,dynamic,2018-02-28,0.0,0.01,0.0,4.649058915617843e-16,3.538835890992686e-16,1.8735013540549514e-16,3.538835890992686e-16,7.424616477180734e-16,5.759281940243001e-16,3.538835890992686e-16,5.204170427930421e-16,0.9999999999999925,7.63278329429795e-17,6.869504964868156e-16,1.8735013540549514e-16,2.42861286636753e-16,2.983724378680108e-16,2.983724378680108e-16,1.3183898417423734e-16,2.0816681711721685e-17,4.0939474033052647e-16,3.538835890992686e-16,2.983724378680108e-16,2.42861286636753e-16,4.0939474033052647e-16,2.42861286636753e-16,7.63278329429795e-17,1.4710455076283324e-15,2.0886070650760757e-15,1.4502288259166107e-15,0.9999999999999937,1.8735013540549514e-16,8.396061623727746e-16,3.191891195797325e-16
